model,layer_idx,layer_name,n_rows,embedding_dim,effective_rank,participation_ratio,twonn_id,mle_id_k20,var_explained_top1,var_explained_top10
sl_eat_bio_ssl_all,0,layer_00,30000,768,17.46525978515167,6.533456398395942,5.051570172801218,8.125440048423178,0.2892276124062278,0.7786640911987968
sl_eat_bio_ssl_all,1,layer_01,30000,768,61.89061258507913,29.947390255740938,6.067544447653579,9.439848767146946,0.08597880520583176,0.49137359441209844
sl_eat_bio_ssl_all,2,layer_02,30000,768,103.01875117641336,56.28206086941367,8.809750202182178,12.849960632320258,0.055544294091466224,0.32789707603990065
sl_eat_bio_ssl_all,3,layer_03,30000,768,134.5539461144895,72.22850958452118,10.159235492128522,13.500773265950874,0.04649600068593157,0.28053779533256246
sl_eat_bio_ssl_all,4,layer_04,30000,768,193.86154743434858,96.6340579026116,2.631867244545853,14.05324301558073,0.04030507144999209,0.23953049060220452
sl_eat_bio_ssl_all,5,layer_05,30000,768,257.3208427711694,121.20472271326885,7.356559010844005,12.197380899956768,0.03606022818222767,0.21299387565081407
sl_eat_bio_ssl_all,6,layer_06,30000,768,317.2800204071892,150.7304996163095,5.718721566773229,10.52600201918381,0.03261092110874212,0.18711008928143882
sl_eat_bio_ssl_all,7,layer_07,30000,768,347.94337566505624,166.89083644453882,4.785964185222835,9.123009165992116,0.02964794995133364,0.17745755449635958
sl_eat_bio_ssl_all,8,layer_08,30000,768,305.08998276182564,127.54789472430224,4.274073237170942,8.76331634577361,0.03707456280111812,0.21666271763005499
sl_eat_bio_ssl_all,9,layer_09,30000,768,315.09796493616795,134.04733418609032,3.044459222555974,7.234378186459329,0.04078514127644617,0.20697234883205418
sl_eat_bio_ssl_all,10,layer_10,30000,768,283.2788196038412,106.1972439852688,2.8584081856681527,7.255193778981856,0.055608490369202165,0.2369762657312394
sl_eat_bio_ssl_all,11,layer_11,30000,768,253.92788932546569,64.03402897186209,2.8774839757336235,8.257136365613183,0.0963843526574756,0.2798829407269835
sl_eat_bio_ssl_all,12,layer_12,30000,768,188.65911920616287,67.76647075621999,2.872303252560114,9.227875416577819,0.08203401349772395,0.2818729662115233
