model,layer_idx,layer_name,n_rows,embedding_dim,effective_rank,participation_ratio,twonn_id,mle_id_k20,var_explained_top1,var_explained_top10
sl_eat_bio_ssl_all,4,layer_04,30000,768,193.86154743434855,96.6340579026116,2.631867244545853,14.05324301558073,0.040305071449992,0.2395304906022045
sl_eat_bio_ssl_all,5,layer_05,30000,768,257.3208427711694,121.20472271326884,7.356559010844005,12.197380899956768,0.0360602281822276,0.212993875650814
sl_eat_bio_ssl_all,6,layer_06,30000,768,317.2800204071892,150.7304996163095,5.718721566773229,10.52600201918381,0.0326109211087421,0.1871100892814388
sl_eat_bio_ssl_all,7,layer_07,30000,768,347.94337566505624,166.89083644453882,4.785964185222835,9.123009165992116,0.0296479499513336,0.1774575544963595
sl_eat_bio_ssl_all,8,layer_08,30000,768,305.08998276182564,127.54789472430224,4.274073237170942,8.76331634577361,0.0370745628011181,0.2166627176300549
sl_eat_bio_ssl_all,9,layer_09,30000,768,315.09796493616795,134.04733418609032,3.044459222555974,7.234378186459329,0.0407851412764461,0.2069723488320541
sl_eat_bio_ssl_all,10,layer_10,30000,768,283.2788196038412,106.1972439852688,2.8584081856681527,7.255193778981856,0.0556084903692021,0.2369762657312394
sl_eat_bio_ssl_all,11,layer_11,30000,768,253.92788932546569,64.03402897186209,2.8774839757336235,8.257136365613183,0.0963843526574756,0.2798829407269835
sl_eat_bio_ssl_all,12,layer_12,30000,768,188.65911920616287,67.76647075621999,2.872303252560114,9.22787541657782,0.0820340134977239,0.2818729662115233
random_init_eat_seed42,0,layer_00,30000,768,10.140013314306843,2.759786040699179,5.136453012305129,9.450472506336297,0.5932335324283537,0.8164733381346915
random_init_eat_seed42,1,layer_01,30000,768,11.011431452791252,2.941789820296109,7.545449620799089,14.82210953033449,0.5737897838809315,0.8144113127573133
random_init_eat_seed42,2,layer_02,30000,768,11.458678185246395,3.1097353225455544,7.981870384593686,14.138883702911691,0.5557070555821582,0.8172516862588232
random_init_eat_seed42,3,layer_03,30000,768,11.557811486573241,3.235311300189982,8.143428662856879,13.577746463054341,0.5409339546776581,0.8213029337174987
random_init_eat_seed42,4,layer_04,30000,768,11.750832356851532,3.344994032468171,8.199785127089124,13.22906573565951,0.5283394580811149,0.8219265885663161
random_init_eat_seed42,5,layer_05,30000,768,11.630146405530038,3.3950251669491545,8.2381579454722,12.811519547792235,0.5206712817248554,0.8252424882618348
random_init_eat_seed42,6,layer_06,30000,768,11.465834711272525,3.455784381099657,8.19386860440637,12.459260886987465,0.5105378530026901,0.8289197190452731
random_init_eat_seed42,7,layer_07,30000,768,11.279814539116874,3.4985457675727094,8.168327022241598,12.145851449404914,0.50174088225663,0.8322551085166079
random_init_eat_seed42,8,layer_08,30000,768,10.986833202681815,3.508032248140097,8.107217270677502,11.869202904355076,0.49551810955917996,0.8361963895100647
random_init_eat_seed42,9,layer_09,30000,768,10.765322350242421,3.511349713899818,8.017894373111924,11.642745813727192,0.4907732601856953,0.8391329153159442
random_init_eat_seed42,10,layer_10,30000,768,10.307150940968652,3.428623918456644,7.898028928113491,11.377619752701687,0.4955082865844898,0.8444137298855507
random_init_eat_seed42,11,layer_11,30000,768,10.175805165992546,3.3993790606214893,2.529330760972476,11.214281812465403,0.49733443417461837,0.8456812463734746
random_init_eat_seed42,12,layer_12,30000,768,9.764805613341974,3.3217105940018175,7.66889808307839,10.953677967791029,0.502943070633882,0.8503827207942949
