seed,layer_idx,layer_name,mean_cos_principal_angles_frame,min_cos_principal_angles_frame,max_cos_principal_angles_frame,k,n_bio_frames,n_nonbio_frames
42,0,layer_00,0.9866807850137567,0.9107966853131675,0.9999736527008367,10,20000,10000
42,1,layer_01,0.9922469857807137,0.9673060541646532,0.9999375357590702,10,20000,10000
42,2,layer_02,0.9912747164966873,0.9551937804265531,0.9998956601967852,10,20000,10000
42,3,layer_03,0.9910295406861349,0.9561861647560945,0.9998609924454325,10,20000,10000
42,4,layer_04,0.9906027670704626,0.9578749703955706,0.9998214888827504,10,20000,10000
42,5,layer_05,0.9916430124087066,0.9710904139385822,0.9997881989264136,10,20000,10000
42,6,layer_06,0.9911124853187058,0.9705395219732178,0.9997486872852515,10,20000,10000
42,7,layer_07,0.988744571007252,0.9451543953426992,0.9997091705374687,10,20000,10000
42,8,layer_08,0.9407222829020137,0.4674263077421128,0.9997469736347813,10,20000,10000
42,9,layer_09,0.9086155201108405,0.161826571147756,0.9997479949383746,10,20000,10000
42,10,layer_10,0.9179584877891825,0.2599575043732707,0.9997294568283662,10,20000,10000
42,11,layer_11,0.9516018171783862,0.6248311483969478,0.9997259449332591,10,20000,10000
42,12,layer_12,0.9572335463186485,0.7645040122991851,0.9997646305622243,10,20000,10000
